PID_22,YR_REMODEL_22,RES_FLOOR_22,GROSS_AREA_22,LIVING_AREA_22,BED_RMS_22,FULL_BTH_22,HLF_BTH_22,KITCHEN_22,TT_RMS_22,INT_COND_RANK_22,EXT_COND_RANK_22,OVERALL_COND_RANK_22,BTHRM_STYLE1_RANK_22,BTHRM_STYLE2_RANK_22,KITCHEN_STYLE1_RANK_22,KITCHEN_TYPE_RANK_22,YR_REMODEL_17,RES_FLOOR_17,GROSS_AREA_17,LIVING_AREA_17,BED_RMS_17,FULL_BTH_17,HLF_BTH_17,KITCHEN_17,TT_RMS_17,INT_COND_RANK_17,EXT_COND_RANK_17,OVERALL_COND_RANK_17,BTHRM_STYLE1_RANK_17,BTHRM_STYLE2_RANK_17,KITCHEN_STYLE1_RANK_17,RES_FLOOR_CHG_IND,RES_FLOOR_CHG,GROSS_AREA_CHG_IND,GROSS_AREA_CHG,LIVING_AREA_CHG_IND,LIVING_AREA_CHG,BED_RMS_CHG_IND,BED_RMS_CHG,TT_RMS_CHG_IND,TT_RMS_CHG,FULL_BTH_CHG_IND,FULL_BTH_CHG,HLF_BTH_CHG_IND,HLF_BTH_CHG,KITCHEN_CHG_IND,KITCHEN_CHG,INT_COND_RANK_CHG_IND,INT_COND_RANK_CHG,EXT_COND_RANK_CHG_IND,EXT_COND_RANK_CHG,OVERALL_COND_RANK_CHG_IND,OVERALL_COND_RANK_CHG,BTHRM_STYLE1_RANK_CHG_IND,BTHRM_STYLE1_RANK_CHG,BTHRM_STYLE2_RANK_CHG_IND,BTHRM_STYLE2_RANK_CHG,KITCHEN_STYLE1_RANK_CHG_IND,KITCHEN_STYLE1_RANK_CHG,REMODEL_EVER_FLAG,REMODEL_LAST_5YR
100229000,2002,2,1728.95,1467.95,3,1,0,1,5,4,3,3,3,,3,1,2002,2,1742,1468,3,1,0,1,5,4,3,3,3,,3,0,0,0,-13.05,0,-0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0
100230000,1980,2,1866,1244,2,1,0,1,5,3,3,3,2,,2,1,1980,2,1866,1244,2,1,0,1,5,3,3,3,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0
100231000,,2,1980,1320,3,1,0,1,5,4,3,3,3,,3,1,,2,1980,1320,3,1,0,1,5,4,3,3,3,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100235000,,2,1863,1242,3,1,0,1,6,3,3,3,2,,2,1,0,2,1863,1242,3,1,0,1,6,3,3,3,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100236000,,2,1782,1188,3,1,1,1,5,3,3,3,2,2,2,1,0,2,1782,1188,3,1,1,1,5,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100237000,,2,1942,1168,3,1,1,1,5,3,3,3,2,2,2,1,0,2,1942,1168,3,1,1,1,5,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100239000,,2,2042,1228,3,1,0,1,5,4,3,3,2,,3,1,0,2,2042,1228,3,1,0,1,5,4,3,3,2,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100249000,1981,2,2922,2065,4,1,1,1,8,3,3,3,2,2,2,1,1981,2,2922,2065,4,1,1,1,8,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100252000,,2,2418,1284,3,1,1,1,6,3,3,3,2,2,2,1,0,2,2418,1284,3,1,1,1,6,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100285000,,1.5,1828,1160,2,1,0,1,5,3,3,3,2,,2,1,0,1.5,1996,1160,2,1,0,1,5,3,3,3,2,,2,0,0,0,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100287000,,1.5,1724.8,924.8,2,1,0,1,5,3,2,3,1,,1,1,0,1.5,1888,925,2,1,0,1,5,3,2,3,1,,1,0,0,0,-163.2,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100336000,,1.5,1728.3,1035.3,3,1,0,1,5,3,3,3,2,,2,1,0,1.5,1911,1035,3,1,0,1,5,3,3,3,2,,2,0,0,0,-182.7,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100337000,,1.5,1438.5,927.5,3,1,0,1,5,3,3,3,3,,1,1,0,1.5,1581,928,3,1,0,1,5,3,3,3,3,,1,0,0,0,-142.5,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100347000,,1.5,2197.9,1240.9,2,1,1,1,6,3,3,3,2,2,2,1,0,1.5,2386,1241,2,1,1,1,6,3,3,3,2,2,2,0,0,0,-188.1,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100373000,,1.5,1447.5,940.5,3,1,1,1,6,3,3,3,1,2,2,1,0,1.5,1590,941,3,1,1,1,6,3,3,3,1,2,2,0,0,0,-142.5,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100374000,,2,2465,1573,2,2,0,1,6,3,3,3,3,3,3,1,0,2,2465,1573,2,2,0,1,6,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100379000,,1.5,2694,1224,3,1,1,1,7,3,3,3,2,2,2,1,0,1.5,2928,1224,3,1,1,1,7,3,3,3,2,2,2,0,0,0,-234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100382000,,1.5,1383.2,1118.2,3,1,0,1,5,4,2,3,3,,3,1,0,1.5,1520,1118,3,1,0,1,5,4,2,3,3,,3,0,0,0,-136.8,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100383000,2000,1.5,2081.8,1173.8,3,1,0,1,6,3,3,3,3,,3,1,2000,1.5,2230,1174,3,1,0,1,6,3,3,3,3,,3,0,0,0,-148.2,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0
100384000,,2,2509.8,1612.8,4,1,0,1,7,3,3,3,2,2,3,1,0,2,2913,1613,4,1,0,1,7,3,3,3,2,2,3,0,0,0,-403.2,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100419000,,2,2868,1896,4,3,0,1,9,3,3,3,2,2,2,1,0,2,2868,1896,4,3,0,2,9,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100456000,,1.5,1853,1044,3,1,0,1,5,3,3,3,2,,2,1,0,1.5,1906,1044,3,1,0,1,5,3,3,3,2,,2,0,0,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100458000,,2,2207,1344,3,1,1,1,7,3,3,3,1,1,1,1,,2,2207,1344,3,1,1,1,7,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100514000,2002,2,1693.75,1200,4,1,0,1,8,3,3,3,2,,2,1,2002,2,1713,1200,4,1,0,1,8,3,3,3,2,,2,0,0,0,-19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0
100515000,,2,1795,1264,3,1,1,1,6,3,3,3,2,2,2,1,0,2,1795,1264,3,1,1,1,6,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100516000,2020,1.5,1921.45,1375.45,4,3,1,2,6,4,3,4,3,3,3,2,0,1.5,1729,1027,3,1,0,1,6,3,3,3,2,,2,0,0,1,192.45,1,348.45,1,1,0,0,1,2,1,1,1,1,1,1,0,0,1,1,1,1,0,,1,1,1,1
100556000,,1.5,2406,1420,2,1,0,1,6,3,2,3,1,,1,1,,1.5,2592,1420,2,1,0,1,6,3,2,3,1,,1,0,0,0,-186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100561000,,1.5,2054.7,1064.7,2,1,0,1,5,3,3,3,3,,2,1,0,1.5,2187,1065,2,1,0,1,5,3,3,3,3,,2,0,0,0,-132.3,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100562000,,1.5,1321.2,775.2,3,1,0,1,5,3,2,3,2,,2,1,0,1.5,1458,775,3,1,0,1,5,3,2,3,2,,2,0,0,0,-136.8,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100563000,,1.5,1515,1011,3,1,0,1,6,3,3,3,2,,2,1,0,1.5,1659,1011,3,1,0,1,6,3,3,3,2,,2,0,0,0,-144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100565000,,2,1632,1112,3,1,0,1,5,4,3,3,2,,2,1,0,2,1632,1112,3,1,0,1,5,4,3,3,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100566000,1985,2,1894,1164,2,1,0,1,6,3,3,3,1,,1,1,1985,2,1894,1164,2,1,0,1,6,3,3,3,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0
100572000,,2,2120,1400,3,1,0,1,7,3,3,3,2,,2,1,0,2,2120,1400,3,1,0,1,7,3,3,3,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100577000,2001,2,3338,1890,2,2,0,1,9,3,3,3,3,3,3,1,2001,2,3338,1890,2,1,1,1,9,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100588000,,2,2121,1350,1,1,0,1,6,3,3,3,2,,2,1,0,2,2121,1350,1,1,0,1,6,3,3,3,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100599000,,1,2722.8,1146,3,1,1,1,6,4,3,4,3,3,3,1,0,1,2778,1146,3,1,1,1,6,4,3,4,3,3,3,0,0,0,-55.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100605000,,3,2993,2019,3,1,1,1,8,3,3,3,2,2,2,1,0,3,2993,2019,3,1,1,1,8,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100625000,,2,3136.05,2016.2,4,2,1,2,10,3,3,3,2,2,2,2,0,2,3588,2016,4,2,1,2,10,3,3,3,2,2,2,0,0,0,-451.95,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100628000,2002,2,2733.4,1822.4,3,1,1,1,6,3,3,3,2,2,3,1,2002,2,3124,1822,3,1,1,1,6,3,3,3,2,2,3,0,0,0,-390.6,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100630000,,2,3218,1974,3,2,0,1,8,3,3,3,2,1,1,1,0,2,3183,1974,3,2,0,1,8,3,3,3,2,1,1,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100641000,2001,2,4177,2204,3,2,1,1,9,3,3,3,3,2,3,1,2001,2,4177,2204,3,2,1,1,9,3,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100654000,2020,2,2269,1496,3,1,1,1,6,3,4,3,3,3,2,1,2013,2,2244,1496,3,1,1,1,6,3,3,3,3,2,2,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1
100655000,,2,2364,1518,2,1,1,1,8,3,3,3,2,2,2,1,0,2,2364,1518,2,1,1,1,8,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100682000,1975,1,2755,1364,2,1,0,1,4,4,4,4,3,,3,1,1975,1,2755,1364,2,1,0,1,4,4,4,4,3,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0
100686000,1993,1.5,2103.65,1345,3,2,0,1,6,3,3,3,2,2,3,1,1993,1.5,2339,1345,3,2,0,1,6,3,3,3,2,2,3,0,0,0,-235.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100690000,2004,2.5,4392.3,2693.3,4,2,1,1,8,3,3,3,3,3,3,1,2004,2.5,4668,2693,4,2,1,1,8,3,3,3,3,3,3,0,0,0,-275.7,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100691000,,2,4567,2880,3,2,1,1,8,3,3,3,2,3,3,1,,2,5287,2880,3,2,1,1,8,4,3,3,3,3,3,0,0,0,-720,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0
100703000,,1.5,2240.25,2004.25,3,1,1,1,9,3,3,3,3,3,3,1,0,1.5,2441,2005,3,1,1,1,9,3,3,3,3,3,3,0,0,0,-200.75,0,-0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100705000,,1.5,2020,1140,3,1,0,1,7,3,2,3,2,,2,1,0,1.5,2200,1140,3,1,0,1,7,3,2,3,2,,2,0,0,0,-180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100706000,,2,1967.6,1405.6,3,1,1,1,6,3,3,3,2,2,3,1,0,2,2198,1406,3,1,1,1,6,3,3,3,2,2,3,0,0,0,-230.4,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100707000,,2.5,3277.1,2123.2,2,1,1,1,6,4,4,3,3,3,3,1,0,2,3410,1902,2,1,0,1,6,4,3,3,3,,3,1,0.5,0,-132.9,1,221.2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0
100708000,2013,2,2344.8,1644.8,4,2,0,1,6,4,3,3,3,3,3,1,2013,2,2354,1645,4,2,0,1,6,4,3,3,3,3,3,0,0,0,-9.2,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100709000,,2,2544,1632,2,1,1,1,5,4,3,3,3,3,3,1,0,2,2544,1632,2,1,1,1,5,4,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100711000,,2,1262,1232,2,1,1,1,5,3,4,3,3,3,2,1,0,2,1262,1232,2,1,1,1,5,3,4,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100714000,,1.5,2048.8,840.8,2,1,1,1,5,3,3,3,1,2,1,1,0,1.5,2164,841,2,1,1,1,5,3,3,3,1,2,1,0,0,0,-115.2,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100715000,,1.5,2566.5,1762.5,4,1,0,1,7,4,3,3,3,,3,1,0,1.5,2709,1763,4,1,0,1,7,4,3,3,3,,3,0,0,0,-142.5,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100718000,,1.5,1610.1,1062.1,2,1,0,1,5,4,3,3,3,,3,1,0,1.5,1764,1062,2,1,0,1,5,4,3,3,3,,3,0,0,0,-153.9,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100722000,,1.5,3018.7,1289.7,2,1,0,1,5,3,3,3,3,,3,0,0,1.5,3214,1290,2,1,0,1,5,3,3,3,3,,3,0,0,0,-195.3,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100724000,,2,2148,1338,3,1,1,1,6,4,3,3,3,3,3,1,0,1.5,2148,1140,3,1,1,1,6,4,3,3,3,3,3,1,0.5,0,0,1,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100727000,1999,1.5,1672,1020,2,1,1,1,4,4,4,4,3,3,3,1,1999,1.5,1852,1020,2,1,1,1,4,4,4,4,3,3,3,0,0,0,-180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100737000,,2,1828,1098,3,1,0,1,5,3,3,3,2,,2,1,0,2,1828,1098,3,1,0,1,5,3,3,3,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100739000,1997,2,2906.45,1917,4,2,1,1,10,4,3,4,3,3,3,1,1997,2,3317,1917,4,2,1,1,10,4,3,4,3,3,3,0,0,0,-410.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100741000,1999,1,2422.9,2081.9,2,1,1,1,6,3,3,3,2,1,2,1,1999,1,2465,2082,2,1,1,1,6,3,3,3,2,1,2,0,0,0,-42.1,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100751000,,1.5,1686.6,1033.6,2,1,0,1,5,3,3,3,1,,1,1,0,1.5,1869,1034,2,1,0,1,5,3,3,3,1,,1,0,0,0,-182.4,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100756000,2014,1.5,2422,1406,3,1,0,1,7,4,3,4,3,,3,1,2014,1.5,2596,1406,3,1,0,1,7,4,3,4,3,,3,0,0,0,-174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0
100758000,2014,1.5,1693.4,1010.6,2,1,1,1,5,4,3,3,3,3,3,1,2014,1.5,1841,1011,2,1,1,1,5,4,3,3,3,3,3,0,0,0,-147.6,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100759000,,1.5,2135.15,1187.5,3,2,1,2,9,3,3,3,3,3,3,2,0,1.5,2299,1188,3,2,1,2,9,3,3,3,3,3,3,0,0,0,-163.85,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100760005,,1.5,1567.6,1059.6,4,1,1,1,8,3,3,3,3,2,2,1,0,1.5,1708,1060,4,1,1,1,8,3,3,3,3,2,2,0,0,0,-140.4,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100800000,,1.5,1917.2,1013.2,1,1,1,1,8,3,3,3,2,2,2,1,0,1.5,2060,1013,1,1,1,1,8,3,3,3,2,2,2,0,0,0,-142.8,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100810000,,2,2893.8,1921.8,4,2,1,1,7,3,2,3,1,1,2,1,0,2,3369,1922,4,2,1,1,7,3,2,3,1,1,2,0,0,0,-475.2,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100818000,,3,2802,1806,3,3,0,1,7,3,3,3,2,2,2,1,0,2,2277,1281,2,2,0,2,6,3,3,3,2,2,2,1,1,1,525,1,525,1,1,1,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100820000,,1.5,1280,920,2,1,0,1,5,3,4,3,2,,2,1,1970,1.5,1377,900,2,1,0,1,5,3,3,3,2,,2,0,0,0,-97,1,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0
100821000,2002,2.5,1731.6,1263.6,4,2,1,1,5,4,3,4,3,3,3,1,2002,2.5,1872,1264,4,2,1,1,5,4,3,4,3,3,3,0,0,0,-140.4,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100822000,2011,1.5,1430.4,894.4,3,1,1,1,6,4,4,4,3,3,3,1,2011,1.5,1584,894,3,1,1,1,6,4,4,4,3,3,3,0,0,0,-153.6,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100825000,2014,1.5,1353.6,921.6,3,1,0,1,5,4,4,4,3,,3,1,2014,1.5,1476,922,4,1,0,1,9,3,4,3,2,,3,0,0,0,-122.4,0,-0.4,0,-1,0,-4,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,,0,0,1,0
100835000,,2,2508,1672,3,1,0,1,6,3,5,3,2,,2,1,0,2,2508,1672,3,1,0,1,6,3,3,3,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,,0,0,0,0
100837000,2004,1.5,1547.6,965.6,2,1,0,1,6,3,4,3,2,,2,1,2004,1.5,1688,966,2,1,0,1,6,3,4,3,2,,2,0,0,0,-140.4,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0
100838000,,2,2797,1800,4,2,0,1,7,3,3,3,2,2,2,1,0,2,2797,1800,4,2,0,1,7,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
